Код;Имя;Группа;КодРодителя
AM18162;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника);Да;
AM18244;01. Чехлы, сумки и аксессуары к цифровой технике;Да;AM18162
AM18264;01. Чехлы и сумки для мобильных устройств;Да;AM18244
AM18225;Сумка, рюкзак для фото/видео камеры;Нет;AM18264
AM27379;Чехол - аккумулятор;Нет;AM18264
AM18259;Чехол для GSM;Нет;AM18264
AM18300;Чехол для планшета;Нет;AM18264
AM18223;Чехол для фото/видео камеры;Нет;AM18264
AM18258;Чехол для электронных книг;Нет;AM18264
AM18336;02. Батарейки, кабели и прочие аксессуары к цифровой технике;Да;AM18244
AM18337;USB хаб;Нет;AM18336
AM18216;Аксессуар для HDD;Нет;AM18336
AM18375;Батарейка/Аккумулятор;Нет;AM18336
AM18376;Зарядное устройство для аккумуляторов AA/AAA;Нет;AM18336
AM18363;Кабель;Нет;AM18336
AM18364;Коммутационное оборудование;Нет;AM18336
AM18369;Магнитный/оптический носитель;Нет;AM18336
AM18388;Память USB Flash;Нет;AM18336
AM18395;Сетевой фильтр;Нет;AM18336
AM18379;Чистящее средство;Нет;AM18336
EM05756;02. Стекла, пленки и аксессуары для моб устройств;Да;AM18162
AM18242;01. Аксессуары для мобильных устройств;Да;EM05756
AM30128;OTG аксессуары;Нет;AM18242
AM20879;Аккумулятор для мобильных устройств;Нет;AM18242
AM18304;Аксессуары прочее;Нет;AM18242
AM18308;Держатели для мобильных устройств;Нет;AM18242
AM27380;Предметы для Селфи;Нет;AM18242
AM27042;02. Стекла и пленки;Да;EM05756
AM30129;Защитное стекло для смартфонов;Нет;AM27042
AM20887;Пленка защитная для планшетов;Нет;AM27042
AM20877;Пленка защитная для смартфонов;Нет;AM27042
EM09368;Списанное стекло и пленка;Нет;AM27042
EM05851;03. Карты памяти;Да;EM05756
AM18359;Кард - ридер;Нет;EM05851
AM18243;Карта памяти (Flash);Нет;EM05851
EM05852;04. Устройства для зарядки;Да;EM05756
AM18307;Зарядные и док станции для мобильных устройств;Нет;EM05852
AM30127;Кабель для мобильных устройств;Нет;EM05852
AM20878;Портативный аккумулятор;Нет;EM05852
AM31753;03. Операторские комплекты и подарочные карты;Да;AM18162
EM06049;Подарочные карты;Да;AM31753
AM18253;Подарочная карта;Нет;EM06049
EM06050;Сим-карты и Оборудование;Да;AM31753
AM26309;Сим-карты, Data-комплекты (сим-карта + 3/4G модем);Нет;EM06050
EM06051;Страховые продукты;Да;AM31753
EM03673;Страховой продукт;Нет;EM06051
AM19032;04. Манипуляторы и аксессуары для ноутбука;Да;AM18162
AM18396;01. Манипуляторы и вебкамеры;Да;AM19032
AM30126;Bluetooth клавиатура и мышь;Нет;AM18396
AM18424;Аксессуар для манипуляторов;Нет;AM18396
AM18397;Веб-камера;Нет;AM18396
AM18399;Графический планшет;Нет;AM18396
EM10194;Клавиатура игровая;Нет;AM18396
AM18402;Клавиатура офисная;Нет;AM18396
EM10196;Коврик игровой;Нет;AM18396
AM18404;Коврик офисный;Нет;AM18396
EM10192;Мышь игровая;Нет;AM18396
AM18405;Мышь офисная;Нет;AM18396
AM18207;02. Аксессуары для ноутбуков;Да;AM19032
AM18206;Адаптер для ноутбука;Нет;AM18207
AM18202;Охлаждение для ноутбука;Нет;AM18207
AM18200;Сумки, рюкзаки, чехлы для ноутбуков;Нет;AM18207
AM19969;05. Аудио;Да;AM18162
AM20020;01. Наушники;Да;AM19969
AM18260;Моногарнитура (Bluetooth);Нет;AM20020
AM18535;Наушники вкладыши;Нет;AM20020
EM00289;Наушники игровые;Нет;AM20020
AM18324;Наушники накладные;Нет;AM20020
EM03352;Стереогарнитура (Bluetooth);Нет;AM20020
EM05762;02. Колонки и портативные аудиосистемы;Да;AM19969
AM18548;Колонки 2.0;Нет;EM05762
AM18550;Колонки 2.1;Нет;EM05762
AM18551;Колонки 5.1;Нет;EM05762
AM18552;Колонки портативные;Нет;EM05762
AM19556;Портативная аудиосистема;Нет;EM05762
AM20764;Радиобудильник;Нет;EM05762
EM63794;Радиоприемник;Нет;EM05762
AM18326;03. Микрофоны и аудио-аксессуары;Да;AM19969
AM24103;Аудио-усилители и адаптеры;Нет;AM18326
AM24104;Аудиокабели и переходники;Нет;AM18326
AM18325;Микрофон;Нет;AM18326
AM24106;Прочие аудио-аксессуары;Нет;AM18326
AM19971;04. Автозвук;Да;AM19969
AM18144;FM Трансмиттер;Нет;AM19971
AM26713;ISO-Коннектор, разъемы;Нет;AM19971
AM19346;Автомобильная акустическая система;Нет;AM19971
AM18296;Автомобильная магнитола (1DIN);Нет;AM19971
EM01197;Автомобильная магнитола (2DIN);Нет;AM19971
AM26714;Автомобильный сабвуфер;Нет;AM19971
AM26716;Автомобильный усилитель;Нет;AM19971
AM26718;Конденсатор;Нет;AM19971
AM26721;Установочный комплект;Нет;AM19971
AM26722;Шумо и виброизоляция;Нет;AM19971
EM05757;06. Аксессуары БТ, посуда;Да;AM18162
AM28879;Аксессуары для КБТ;Да;EM05757
AM30947;Аксессуары для вытяжек;Нет;AM28879
EM04721;Аксессуары для кондиционеров ;Нет;AM28879
AM19789;Аксессуары для плит и варочных поверхностей;Нет;AM28879
AM23955;Аксессуары для стиральных и посудомоечных машин;Нет;AM28879
AM23953;Аксессуары для холодильников;Нет;AM28879
AM30960;Средства для прочей техники КБТ и уходу за домом;Нет;AM28879
AM19787;Аксессуары для МБТ;Да;EM05757
AM26920;Аксессуары для аквафильтров;Нет;AM19787
AM20752;Аксессуары для бритв и эпиляторов;Нет;AM19787
AM30954;Аксессуары для зубных щеток;Нет;AM19787
AM20750;Аксессуары для мультиварок;Нет;AM19787
AM30953;Аксессуары для мясорубок и прочей техники для нарезки и смешивания;Нет;AM19787
EM04971;Аксессуары для СВЧ и прочей МБТ для жарки и подогрева;Нет;AM19787
AM21716;Аксессуары для техники по приготовлению напитков;Нет;AM19787
AM19788;Аксессуары для техники по уходу за одеждой;Нет;AM19787
AM23785;Бытовая химия МБТ;Нет;AM19787
AM26918;Гладильная Доска;Нет;AM19787
AM30955;Капсулы для кофемашин;Нет;AM19787
AM26919;Кронштейны для МБТ;Нет;AM19787
AM30958;Прочие аксессуары для пылесосов и чистящей техники;Нет;AM19787
AM30956;Пылесборники для пылесосов;Нет;AM19787
AM23157;Сушилка для белья;Нет;AM19787
AM30957;Фильтр для пылесоса;Нет;AM19787
EM06147;Фильтр проточный;Нет;AM19787
AM21592;Фильтр-кувшин;Нет;AM19787
AM24334;Посуда;Да;EM05757
AM26306;Дистиллятор;Нет;AM24334
EM00327;Кастрюля, Ковш;Нет;AM24334
EM00329;Крышка для посуды;Нет;AM24334
AM21589;Кухонная утварь;Нет;AM24334
EM03358;Лапшерезка;Нет;AM24334
EM00328;Набор посуды;Нет;AM24334
EM00324;Нож, ножницы;Нет;AM24334
EM00332;Посуда для СВЧ и хранения;Нет;AM24334
EM00325;Сковорода;Нет;AM24334
EM00326;Сотейник, Вок, Жаровня;Нет;AM24334
EM00331;Термос, Термокружка;Нет;AM24334
EM08252;Турка, Гейзерная кофеварка;Нет;AM24334
EM00333;Форма для выпекания;Нет;AM24334
AM29455;Холодильник автомобильный;Нет;AM24334
EM00330;Чайник;Нет;AM24334
EM05758;07. Видео аксессуары, аудиосистемы и освещение;Да;AM18162
AM23092;01. Аудиосистемы;Да;EM05758
EM00963;Акустические системы Hi-Fi;Нет;AM23092
EM00970;Воспроизводящие устройства аудио Hi-Fi;Нет;AM23092
AM23091;Домашние аудиосистемы;Нет;AM23092
EM04684;Домашние кинотеатры;Нет;AM23092
EM01581;Магнитолы;Нет;AM23092
EM00962;Музыкальные инструменты;Нет;AM23092
EM00969;Ресиверы, усилители Hi-Fi;Нет;AM23092
AM18281;Саундбары;Нет;AM23092
EM45172;Электрогитары;Нет;AM23092
AM20766;02. Видео аксессуары;Да;EM05758
EM03401;Аксессуары для проекторов;Нет;AM20766
AM21571;Видеоплеер портативный;Нет;AM20766
AM21572;Видеоплеер стационарный;Нет;AM20766
AM18130;Комплект спутникового и IP-TV ТВ;Нет;AM20766
AM24618;Конвертер, переключатель сигнала (под заказ);Нет;AM20766
AM18330;Крепления для видеотехники;Нет;AM20766
EM63751;Крепления для мониторов;Нет;AM20766
AM21574;Медиаплеер стационарный;Нет;AM20766
AM21568;Модуль расширения для ТВ/Видео;Нет;AM20766
AM21569;Пульт ДУ для ТВ Видео;Нет;AM20766
AM18289;Стереоочки 3D;Нет;AM20766
AM24465;Стол, тумба, стойка для ТВ;Нет;AM20766
AM18136;ТВ антенны;Нет;AM20766
AM21575;Тюнер цифрового телевидения;Нет;AM20766
AM23627;Усилители, кабели, сплиттеры, переходники;Нет;AM20766
AM23626;Чехлы для пультов ДУ;Нет;AM20766
AM19454;03. Осветительное оборудование и дом;Да;EM05758
AM19456;Лампа светодиодная;Нет;AM19454
AM19427;Метеостанция;Нет;AM19454
AM21707;Настенные часы;Нет;AM19454
AM26333;Осветительное оборудование;Нет;AM19454
AM19455;Светильник декоративный, ночник;Нет;AM19454
AM20763;Светильник настольный;Нет;AM19454
AM18377;Фонарь;Нет;AM19454
EM06047;04. Кабель HDMI;Да;EM05758
AM24345;Кабель HDMI;Нет;EM06047
EM10592;08 Производство;Да;AM18162
EM10596;Аксессуары для защитного стекла;Нет;EM10592
EM10688;Защитное стекло для смартфона без упаковки;Нет;EM10592
EM10593;Упаковка для защитного стекла;Нет;EM10592
AM18266;02. Цифровая Электроника и GSM (Смартфоны, Планшеты, Цифровые камеры);Да;
AM18252;01. Средства связи GSM;Да;AM18266
AM18249;Смартфоны, Сотовые телефоны, Радиостанции, Умные часы и браслеты;Да;AM18252
AM19347;Радиостанции;Нет;AM18249
AM18250;Смартфон;Нет;AM18249
AM18248;Сотовый телефон;Нет;AM18249
AM27381;Умные часы и браслеты;Нет;AM18249
AM18265;02. Планшетные ПК, Электронные книги, GPS Навигатор;Да;AM18266
AM18257;Планшетные ПК, Электронные книги, GPS Навигатор;Да;AM18265
AM18156;GPS Навигатор;Нет;AM18257
AM18255;Планшетный ПК;Нет;AM18257
AM18246;Электронная книга;Нет;AM18257
AM18135;03. Интертеймент;Да;AM18266
AM20741;01. Игровые консоли;Да;AM18135
AM18134;Ретро консоли;Нет;AM20741
EM08108;Современные игровые консоли;Нет;AM20741
AM20770;02. Аксессуары ИК;Да;AM18135
AM27450;Аксессуары для консолей;Нет;AM20770
AM21566;Геймпад;Нет;AM20770
